Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.type"">Type</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.start_time"">Start Time</span>",Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.jump_count"">Jump Count</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_grit"">Total Grit</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_flow"">Avg Flow</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.flagged"">Flagged</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_elapsed_speed"">Avg Elapsed Speed</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.dirt_distance"">Dirt Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_distance"">Newly Explored Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_dirt_distance"">Newly Explored Dirt Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.sport_type"">Sport Type</span>"
1869813474,"Sep 27, 2018, 7:24:53 PM",Afternoon Run,Run,,2803,8.18,170.0,71,false,,activities/1869813474.gpx,0.0,,2803.0,2727.0,8185.9609375,5.5,,20.7230167388916,,-1.2000000476837158,7.800000190734863,9.800000190734863,-0.03542633727192879,,,,,170.0,153.3289337158203,,,0.0,,,71.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1927432168,"Oct 25, 2018, 10:22:49 PM",Evening Run,Run,,1330,3.47,156.0,18,false,,activities/1927432168.gpx,0.0,,1330.0,1292.0,3477.6923828125,6.599999904632568,,0.0,,1.2000000476837158,6.599999904632568,9.0,-0.10943754762411118,,,,,156.0,142.4651641845703,,,0.0,,,18.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1927432171,"Sep 28, 2018, 9:17:11 PM",Afternoon Run,Run,,1705,5.11,171.0,65,false,,activities/1927432171.gpx,0.0,,1705.0,1693.0,5112.28466796875,8.600000381469727,,7.247222423553467,,-1.7000000476837158,4.199999809265137,12.600000381469727,0.007824267260730267,,,,,171.0,164.9462432861328,,,0.0,,,65.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949393438,"Nov 1, 2018, 11:04:38 PM",Evening Run,Run,,1447,4.03,162.0,34,false,,activities/1949393438.gpx,0.0,,1447.0,1441.0,4038.710205078125,6.0,,10.55138874053955,,-2.0999999046325684,4.300000190734863,11.5,0.0,,,,,162.0,150.23941040039062,,,0.0,,,34.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949393462,"Nov 4, 2018, 4:39:04 PM",Lunch Run,Run,,4221,12.16,168.0,137,false,,activities/1949393462.gpx,0.0,,4221.0,4211.0,12167.970703125,4.599999904632568,,9.523611068725586,,0.20000000298023224,6.099999904632568,6.300000190734863,0.0,,,,,168.0,159.85585021972656,,,0.0,,,137.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964493580,"Nov 10, 2018, 3:21:02 PM",Morning Run,Run,,5313,14.52,168.0,164,false,,activities/1964493580.gpx,0.0,,5313.0,5037.0,14521.9384765625,5.900000095367432,,81.48670959472656,,7.699999809265137,38.099998474121094,16.5,0.03953434154391289,,,,,168.0,160.72325134277344,,,0.0,,,164.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979254018,"Nov 22, 2018, 3:54:41 PM",Morning Run,Run,,8625,17.34,174.0,242,false,,activities/1979254018.gpx,0.0,,8625.0,6812.0,17347.865234375,4.0,,17.408611297607422,,-0.10000000149011612,6.099999904632568,6.0,0.0,,,,,174.0,163.60586547851562,,,0.0,,,242.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989089127,"Nov 28, 2018, 10:22:18 AM",Morning Run,Run,,1379,3.89,157.0,27,false,,activities/1989089127.gpx,0.0,,1379.0,1379.0,3895.108154296875,7.0,,4.862500190734863,,-1.899999976158142,4.400000095367432,11.100000381469727,-0.005134656559675932,,,,,157.0,147.8607635498047,,,0.0,,,27.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996958280,"Nov 29, 2018, 10:49:26 AM",Morning Run,Run,,1537,3.92,161.0,34,false,,activities/1996958280.gpx,0.0,,1537.0,1458.0,3922.87451171875,4.199999809265137,,4.391110897064209,,-1.7999999523162842,7.5,11.899999618530273,-0.10451451689004898,,,,,161.0,148.18792724609375,,,0.0,,,34.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999409028,"Dec 4, 2018, 10:33:44 AM",Morning Run,Run,,1471,4.08,152.0,27,false,,activities/1999409028.gpx,0.0,,1471.0,1445.0,4080.878662109375,8.5,,5.023214340209961,,-2.0,4.400000095367432,12.699999809265137,-0.012506253086030483,,,,,152.0,146.23114013671875,,,0.0,,,27.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
